station,dist,TR_2_mean,TR_2_std,TR_5_mean,TR_5_std,TR_10_mean,TR_10_std,TR_25_mean,TR_25_std,TR_50_mean,TR_50_std,TR_75_mean,TR_75_std,TR_100_mean,TR_100_std
Guapo,GEV,108.85281444265827,16.996776650945748,145.2200925511445,22.52563500086888,176.19087434344004,32.84281914355903,226.90640366894078,59.35236821048747,276.34552932310487,94.87679702925983,311.3432540224043,124.96459540097312,339.557697700436,151.8934933121414
Guapo,GPD,158.8157948528517,25.797778492299773,217.0996093070406,50.20006879327425,271.29284041278197,79.94815986627016,360.4970751477978,142.42475822235033,445.19126505499844,216.3835026172685,503.3876300135408,275.1943053273848,549.2387012548239,326.0499048850144
Les Avocat (WTP),GEV,90.56080221507642,7.5484588047830785,126.2580489329954,14.229477552179238,157.68347950221457,23.14864251015404,210.08060652979808,45.23185422015636,261.5490159227894,75.24262519280799,297.9883818672173,101.07847494986115,327.3103295013359,124.47831007135801
Les Avocat (WTP),GPD,113.67043984496405,8.155718418408446,144.17809000265225,14.057741598311692,170.57439356348684,20.42280889889822,210.6021820456017,32.05016950210994,245.37272216197098,43.885498349230865,267.7490167408769,52.28136187831719,284.62152821203233,58.99178531512004
Mamma Cannes (WTP),GEV,100.6576009160237,11.233220404292805,141.386462693123,16.889964000310453,173.99907887678975,25.354347898479556,224.1321983378574,47.24847495237036,269.95046250728234,76.45130594007057,300.9500884818177,100.89096984353763,325.2191128261196,122.5654164531191
Mamma Cannes (WTP),GPD,120.02806202764613,11.535541904646289,154.96502384783878,20.7565996889625,185.520582060321,31.043221961853554,232.46803643295655,50.49445113296509,273.8675627287503,71.00074626495669,300.81851023606004,85.92112000163715,321.301124123715,98.05004857935103
Mardigras (WTP),GEV,93.92519755931556,9.858852727679999,131.0111412357529,17.171201226458905,163.84175221595459,27.00279192427777,219.3187899194608,52.006415871896124,274.8593175905182,87.0063954921587,314.82077315361573,117.5823956945316,347.3508706931011,145.45641405031418
Mardigras (WTP),GPD,114.90681795437656,11.833719490704434,150.14833611085365,21.6015378223242,181.73675803042929,32.756521395848736,231.51292140755945,54.401796242746954,276.5265849980259,77.81689716844139,306.34269306245517,95.16081362851341,329.2553532602999,109.42336318251358
Mirabeau (WTP),GEV,91.42575840131232,7.717003272022766,128.2687243422098,15.659390784380687,163.0426080500892,26.475596145199166,225.21209328724584,55.5208983863727,290.71344026413766,98.59345313449577,339.43526434204557,137.91204314255296,379.9317567892587,174.86436449046693
Mirabeau (WTP),GPD,128.16044179541768,10.291028746957366,163.64645944868997,17.988209929412903,194.19966757171153,26.346656452810805,240.33379042014204,41.699401167935314,280.26661158276613,57.40783996653913,305.9133305200641,68.59293920922245,325.2306728696459,77.55538465835825
