z_20250401,z_20250402,z_20250403,z_20250404,z_20250405,z_20250406,z_20250407,z_20250408,z_20250409,z_20250410,z_20250411,z_20250412,z_20250413,z_20250414,z_20250415,z_20250416,z_20250417,z_20250418,z_20250419,z_20250420,z_20250421,z_20250422,z_20250423,z_20250424,z_20250425,z_20250426,z_20250427,z_20250428,z_20250429,z_20250430
-20.794624133441438,-20.961251586736417,-20.85999061640091,-22.513664599246635,-32.38183834393288,-20.818399884065286,-22.374874339065723,-47.703754560780254,-53.09167420263746,-21.366445019295487,-20.825226728254094,-21.016585593186093,-20.8973243950701,-21.20502810195517,-35.08847841169969,-20.926777878767446,-20.87050781378213,-20.80176176390889,-21.91519810032972,-23.480719211667562,-27.262930458944325,-50.31876653820653,-224.11816490319836,-98.38126879808425,-22.261558852141874,-27.86763330495434,-23.202487058798884,-21.880862659386434,-20.88757654398281,-20.847617491337395
-20.87949886422103,-21.050318580703195,-20.96179811239277,-22.459435244792758,-32.89996587726344,-20.910005301914165,-22.330178242673057,-48.53444892243036,-52.72173270138976,-21.49511457040122,-20.88839272193823,-21.099541197082065,-20.955932581052906,-21.27893088016808,-36.728663607025325,-20.945282971121966,-20.932351626557928,-20.880323667700456,-21.981756533575407,-23.33648412583742,-27.1785103949304,-48.184624694621135,-221.78273599900552,-99.72710173558588,-22.354747228237287,-27.703079755485923,-23.146023070787084,-22.071364440357005,-20.976731791875846,-20.946484188174562
-20.593512882468403,-20.771053098035253,-20.658902481542906,-22.33292302925344,-32.55879237025227,-20.61570658054092,-22.20573617472259,-47.95088563658039,-52.91787355188079,-21.185808051397572,-20.625416793554077,-20.821719438499013,-20.701138720134207,-21.027799033786014,-35.579213680912204,-20.73750822092797,-20.672080134014013,-20.601118386701618,-21.752133689217732,-23.31425074865783,-27.14247907980338,-49.714757968800576,-227.30098932347533,-99.29352165567646,-22.118511976743527,-27.807642996616288,-23.04455940469642,-21.733738905652153,-20.68729947263058,-20.64587756931759
-20.63350921268492,-20.802474883018018,-20.699896677829834,-22.332878392983886,-32.40857566862787,-20.658712306303254,-22.20227467286133,-47.71188616029857,-53.720512518546784,-21.22656436125137,-20.66104497727601,-20.862268800317505,-20.738353041590237,-21.059739119954624,-35.589176781258125,-20.76466314896436,-20.705865227125862,-20.63857016417771,-21.772984306523345,-23.32710552671257,-27.14764008575463,-50.491006770862505,-224.6338769533188,-99.83715591701987,-22.147882427205563,-27.7259045759857,-23.048551324802805,-21.76711127397542,-20.728412305522607,-20.687564905714574
-20.461068305967974,-20.62999413779806,-20.52183533590465,-22.195384727814066,-32.231804892055365,-20.485308137458077,-22.06818567245615,-47.4253511418623,-54.566127557235546,-21.056225009586292,-20.493500445875192,-20.69514509158684,-20.577105004463466,-20.904210729518685,-35.4058808072639,-20.61285712408224,-20.538846376118084,-20.46616465459954,-21.619851942886495,-23.25050940650816,-27.10377012691426,-51.68334344907081,-226.17804510136594,-100.71283974747831,-22.010911966178345,-27.668170209692725,-22.932894598859633,-21.598168394084013,-20.55558957610588,-20.5106821290683
-21.125765371098677,-21.296429335340207,-21.212054742830258,-22.689975841971034,-33.00422777485607,-21.156171120041524,-22.558019571059525,-48.846732614455306,-51.64104044723486,-21.726258544370246,-21.131595707211822,-21.334921117541295,-21.189681737101335,-21.499066726381834,-36.40186748138915,-21.17141137811945,-21.176361431692875,-21.127824747806024,-22.19875058472561,-23.505685439688065,-27.31622134944752,-47.29988951313244,-220.91277807931158,-97.9948967920353,-22.534501703593005,-27.88164763368455,-23.342408586246673,-22.276844672676845,-21.22119362598449,-21.195549892984044
-20.34468706490283,-20.53292889624369,-20.41328898823531,-22.05236000925204,-32.78167693658726,-20.368350932720688,-21.9433772917638,-48.19891741214823,-53.416571348281835,-20.977637026303746,-20.3706679148527,-20.5833561895268,-20.454438478620332,-20.80942377485192,-36.699403107708434,-20.484761859146563,-20.417755993411475,-20.349406291861893,-21.54180917897312,-23.054893786899466,-26.972541996598487,-49.19733188236902,-229.16924093813094,-101.46398323617505,-21.956293098938133,-27.613689759727144,-22.8047629400068,-21.586146629582164,-20.441306696726112,-20.399509555667546
-20.4659170040866,-20.65092256798082,-20.539030957664178,-22.129195718290344,-32.85743077407615,-20.491817931421945,-22.01726518035493,-48.32804437154702,-53.29026748271428,-21.100633958798717,-20.485760558564174,-20.700862379902723,-20.566344712652377,-20.916747941325166,-36.91528065096587,-20.58325679006943,-20.532010062763508,-20.468939002429025,-21.640918801427098,-23.097212301424598,-27.00790587418705,-48.798886620146774,-227.15195619203013,-101.28492508689556,-22.05181362934299,-27.605306231127013,-22.868118042931112,-21.710908305959403,-20.56314902817751,-20.524680101093757
-20.43868026740444,-20.630782209203886,-20.509927493536857,-22.137284860849334,-32.915508422707646,-20.4620592228052,-22.03056261502664,-48.46703667000845,-52.71971963528613,-21.07069690451595,-20.462589229106406,-20.67283661491129,-20.54231286348123,-20.895906834624494,-36.72975382681395,-20.568578649269448,-20.510347728533525,-20.44386825982649,-21.628411109811484,-23.105572071793702,-27.02621986637614,-48.415971571766065,-229.33886139055616,-100.70934536038635,-22.029112749732278,-27.69583439422084,-22.875832562266982,-21.67823415211467,-20.534412045862897,-20.49524484282908
-20.132518277971265,-20.332329711023075,-20.19996346947499,-21.86008850976195,-32.9340614956241,-20.154837196975294,-21.76518132576731,-48.3748929225967,-53.54747265871027,-20.788066890896193,-20.159828695337097,-20.378574887558784,-20.24970867730482,-20.62569335703883,-37.23829675833558,-20.286224678063288,-20.20840990105156,-20.137197218082054,-21.369375037197543,-22.890690367669055,-26.881428211450213,-48.92685272269719,-232.43679343388672,-102.63749867523724,-21.811199492658368,-27.54761040516594,-22.640435776493433,-21.434842313854677,-20.22972728468931,-20.185854345106335
