z_20250401,z_20250402,z_20250403,z_20250404,z_20250405,z_20250406,z_20250407,z_20250408,z_20250409,z_20250410,z_20250411,z_20250412,z_20250413,z_20250414,z_20250415,z_20250416,z_20250417,z_20250418,z_20250419,z_20250420,z_20250421,z_20250422,z_20250423,z_20250424,z_20250425,z_20250426,z_20250427,z_20250428,z_20250429,z_20250430
-21.254133912741707,-21.36936414686534,-21.26638333025984,-22.990047024445595,-30.428362168483673,-21.30265459673495,-22.92990303261628,-45.006216000061855,-58.98298579320328,-21.675834798028138,-21.286842771035644,-21.412416185034733,-21.397062543302205,-21.607906783619825,-31.335313029562624,-21.401565200849504,-21.332537285933824,-21.241176192474523,-22.179257424796223,-24.39738862603722,-29.312198895699552,-59.56943537988507,-222.50081151806955,-94.02789952127205,-22.505912952986076,-29.268983415094773,-23.852107435322715,-22.068881836586467,-21.299137777303173,-21.267590639321458
-20.194161270755373,-20.337198181337797,-20.18369963270696,-22.28864201192356,-30.157163333808363,-20.227114037747537,-22.16386334107277,-44.86140033808574,-60.56046429714947,-20.624120030239357,-20.25149618681738,-20.371086393604536,-20.39156320211393,-20.629438924172874,-31.09865320317698,-20.4485131874521,-20.316938322115842,-20.186889950301964,-21.242399713982085,-23.720538281766512,-29.420574310301873,-60.5471434236152,-238.97370846678825,-96.131014430557,-21.623655801223606,-29.327885563969886,-23.221281206801535,-21.102421932177265,-20.234426993809674,-20.185903509460886
-20.246430613041507,-20.38427794582777,-20.239102317000224,-22.256815980890096,-30.08768420702676,-20.283328747339734,-22.171696738373903,-44.78599903316718,-60.820708650776496,-20.68688258983378,-20.299240466158228,-20.424521649160933,-20.43652729487641,-20.68116158299717,-31.20438082446658,-20.4858499939384,-20.360752673786326,-20.236833580640557,-21.288964929235032,-23.747194120461078,-29.275656353039142,-61.153680070943985,-236.01050801270657,-96.6926735502843,-21.674604864463305,-29.256270815129387,-23.211130255587996,-21.155243076060206,-20.288458855923185,-20.241398039621053
-20.11832925811419,-20.256295914302463,-20.11051423086351,-22.122618699582265,-30.02579484251473,-20.156233526753972,-22.05599444794335,-44.80267609602873,-61.30914229153608,-20.56895543303506,-20.171452296417097,-20.299888934052895,-20.310417221000613,-20.56382415686115,-31.25009500437896,-20.360701127056878,-20.232620009750608,-20.107728316445115,-21.175104495458218,-23.664133688303156,-29.18311812653313,-61.81203236626834,-236.91356344363572,-97.6188633373476,-21.571137871452,-29.20832685902485,-23.10127199882894,-21.041805479835375,-20.161203762298204,-20.113005761645695
-21.05776159723427,-21.180945807899963,-21.063083858018953,-22.889540209871893,-30.357920728985114,-21.100811600225708,-22.804904186675632,-44.82969744249928,-59.07812231966438,-21.474573221007695,-21.097051840240045,-21.219602077187183,-21.215756370068302,-21.429836156737885,-31.255310477063922,-21.236181098897966,-21.148947548362894,-21.047172036514162,-22.008917693424888,-24.272707186948473,-29.404702377087958,-59.41308634657224,-225.6048292515108,-93.81334438662657,-22.346815935318478,-29.32609835189778,-23.762755825199125,-21.889705005787054,-21.10059591893212,-21.064481673980374
-21.129620005472873,-21.25081202835937,-21.136693024777262,-22.93721676322715,-30.38205227029904,-21.1738552171197,-22.856534128894825,-44.86147556961589,-58.977850357171945,-21.545995673819323,-21.167157915460972,-21.29009098491496,-21.28359731118793,-21.495601517250318,-31.27132808879424,-21.300008361566,-21.217610047270245,-21.118610683050306,-22.072131563147412,-24.318526459284634,-29.39742878242201,-59.3519077627014,-224.5995298722724,-93.70582142935439,-22.40584757441454,-29.32186695571441,-23.804867281132815,-21.95501400329731,-21.172842025057708,-21.13801191366253
-20.423942306972197,-20.55251087496478,-20.423430049685106,-22.30185180902828,-30.105094643346217,-20.46759236342773,-22.266187715282943,-44.85117266971306,-60.98480154247737,-20.877145296329076,-20.469066307022555,-20.600744313609525,-20.59864205297031,-20.847396129284366,-31.349021306750053,-20.631956246344252,-20.52295171176483,-20.410858142083818,-21.44456031048495,-23.86575375083824,-29.09369167798078,-61.794221749761576,-231.65849769932146,-97.32406608033585,-21.82722233538865,-29.15093252085302,-23.2652914599512,-21.32194264850937,-20.468808431011425,-20.425720555877337
-20.40080622176339,-20.53736419819411,-20.394791867423525,-22.399733490374313,-30.153626443750106,-20.437523139266286,-22.30287111037946,-44.775711926469484,-60.35364546682143,-20.8326435390947,-20.452322882393414,-20.575268697996552,-20.58698071651497,-20.823415391927625,-31.180293864543497,-20.633400586382777,-20.513242644936263,-20.39179372712201,-21.426296287911473,-23.848653049323794,-29.347655211844195,-60.57890984956999,-234.5180353400073,-95.83525952284484,-21.801263850008368,-29.29347074138409,-23.33138274348249,-21.293518508515376,-20.44232666798591,-20.39688832304929
-21.290755752786296,-21.421729565261554,-21.291607433133148,-23.254085301125798,-30.682591280973455,-21.3252502582317,-23.08021681920574,-44.98383142758643,-57.78779229903111,-21.6721241835629,-21.33704101979974,-21.443790023705223,-21.456426204988126,-21.64425763039086,-31.062715985228643,-21.48815173627046,-21.395615450553084,-21.286062113120977,-22.222348419169318,-24.46677182249614,-29.84838537955572,-57.31331824960829,-228.49110505141684,-91.11123914823816,-22.534253972463585,-29.55957613735916,-24.050595501751268,-22.092079946854838,-21.328931126822685,-21.292455329377113
-20.39579630555114,-20.527067203841195,-20.393262045429815,-22.31161122007977,-30.09886585147203,-20.437245078026177,-22.259424083130835,-44.802917872096344,-60.84635309413391,-20.843325217573014,-20.4430178857629,-20.572497177802827,-20.57478060909165,-20.821012228797535,-31.300806987185858,-20.612832875315817,-20.499299327412427,-20.38391690416154,-21.42055844674707,-23.84443502098125,-29.162146608614652,-61.49036142702654,-232.57180606844122,-96.94093867418778,-21.80274504999709,-29.192137204012404,-23.26990263009966,-21.294554505930297,-20.43964651826941,-20.395522971686677
