station_id,xi,sigma
Annandale (WTP),0.16286250152177226,22.85359839373541
Annandale (WTP),0.1729272828233661,22.014294962753596
Annandale (WTP),0.2611795554775065,17.648928477463734
Annandale (WTP),0.17005416467624093,21.42769035030824
Annandale (WTP),0.02702471208851983,20.49691962360692
Annandale (WTP),0.07581474033336305,22.62761965186158
Annandale (WTP),0.0705511130533191,21.487963645893487
Annandale (WTP),0.022802363546952496,21.925415188855613
Annandale (WTP),0.13839005082090916,22.712605506757782
Annandale (WTP),0.09589338198420835,22.537589945722154
Annandale (WTP),0.10042000894304334,21.753541835927713
Annandale (WTP),0.13469140112586403,19.88327836306922
Annandale (WTP),0.0701667088907683,21.790692103251985
Annandale (WTP),0.10122055546042935,23.983392487514845
Annandale (WTP),0.08944650588605747,23.94900894020184
Annandale (WTP),0.1497705964501125,22.998797116127456
Annandale (WTP),0.13355630601790064,21.00803631546369
Annandale (WTP),0.049117539209890225,24.24690770355231
Annandale (WTP),0.08148557868195885,22.96703792180579
Annandale (WTP),0.14192885812992462,20.62238184764516
Annandale (WTP),0.1541348045979509,19.73203703755903
Annandale (WTP),0.08120193797685948,22.831589263116705
Annandale (WTP),0.1161709964782848,21.38189496267152
Annandale (WTP),0.09085769355599399,23.325882320506032
Annandale (WTP),0.15907183709390163,20.492520472151433
Annandale (WTP),0.10635832799286193,20.454376231091857
Annandale (WTP),0.09175922205882504,20.83238434807634
Annandale (WTP),0.012542538036345356,24.6681017384144
Annandale (WTP),0.09218607944518488,22.52401203630108
Annandale (WTP),0.2001059785560312,18.19424470304493
Annandale (WTP),0.10188508995849518,21.384540144737393
Annandale (WTP),0.034720185751881946,22.39403797263128
Annandale (WTP),0.06099139712947829,23.75166397217179
Annandale (WTP),0.023356524600259068,23.593307984565868
Annandale (WTP),0.041026328952447566,22.225990331777894
Annandale (WTP),0.1381716161596496,22.356563583109086
Annandale (WTP),0.22680265549755896,22.173650565559868
Annandale (WTP),0.06157600909909325,24.07880483550456
Annandale (WTP),0.177526389901971,21.025967833757704
Annandale (WTP),0.11120345521004496,20.394108425459486
Annandale (WTP),0.21832844286251327,19.98026683378864
Annandale (WTP),0.049385584359885826,21.784202792125537
Annandale (WTP),0.17960612365767398,18.940934403809713
Annandale (WTP),0.12325617960605917,21.981820361590053
Annandale (WTP),0.1548320838509411,20.991613566949933
Annandale (WTP),0.11242642452452867,22.716691943787318
Annandale (WTP),0.08119289273615571,21.651297339250306
Annandale (WTP),0.07642260503003179,22.939274538296864
Annandale (WTP),0.10486072312903602,22.690706233049944
Annandale (WTP),-0.0288211708748596,24.99409255985837
Annandale (WTP),0.1826357142773274,22.725173431943265
Annandale (WTP),0.22301964480960107,20.52202991197737
Annandale (WTP),0.07082590844854264,21.37668703732728
Annandale (WTP),0.051837047392211594,21.70710156658049
Annandale (WTP),0.08194441293142746,23.91751479363792
Annandale (WTP),0.18395598300675103,20.293525408965266
Annandale (WTP),0.2202137177708063,20.23587964235674
Annandale (WTP),0.09691295639084838,20.335793039971314
Annandale (WTP),0.022738664704010234,24.313083541823325
Annandale (WTP),0.15450186267693947,23.498702880071633
Annandale (WTP),0.26380905975070745,19.344055877203036
Annandale (WTP),0.13751948811210163,18.801831027450483
Annandale (WTP),0.06600070013749146,21.431379183255505
Annandale (WTP),0.07023436801349418,22.242736633987942
Annandale (WTP),0.009140083369639836,23.64380236133124
Annandale (WTP),0.10962367758371251,21.74839681760282
Annandale (WTP),0.02036551051566258,22.820984489568602
Annandale (WTP),0.1649134800796551,22.444618002980523
Annandale (WTP),0.017100556865922836,25.15240003978996
Annandale (WTP),0.1318376172150031,20.73768884203266
Annandale (WTP),0.034045426824692644,24.95887346431061
Annandale (WTP),0.03294150440705666,21.930949071511733
Annandale (WTP),0.04693774090456194,23.185317105338612
Annandale (WTP),0.19216196070417146,19.941655366407904
Annandale (WTP),0.11497010642112293,20.95102545711139
Annandale (WTP),0.1326264152012091,23.498812926175788
Annandale (WTP),0.10080167152657951,21.918587329230938
Annandale (WTP),-0.044149829530111595,25.04483649722761
Annandale (WTP),0.09494033648908759,23.438209219691046
Annandale (WTP),0.03387743444849524,22.664253446173554
Annandale (WTP),0.1669107213278784,18.340793272382513
Annandale (WTP),0.16825993680586,21.689136781387987
Annandale (WTP),0.0519144380990719,23.689589020492605
Annandale (WTP),0.08517963135031989,20.069547930912037
Annandale (WTP),0.08037014364048488,22.47256319947953
Annandale (WTP),0.08419866779272678,20.312547832724903
Annandale (WTP),0.09513687236239676,23.662558282189295
Annandale (WTP),0.1380790410911482,21.327724555569645
Annandale (WTP),0.11641902452681788,21.110966233324746
Annandale (WTP),0.09836610328086332,23.562283380692996
Annandale (WTP),0.05518097628192789,21.960581101748325
Annandale (WTP),0.07399698387433551,22.57256040424256
Annandale (WTP),0.1410293959409749,22.977736625095346
Annandale (WTP),0.20519725219533858,20.02641573155169
Annandale (WTP),0.05123112793600877,23.213251300589256
Annandale (WTP),0.05824709152960943,21.158758979991305
Annandale (WTP),0.18415399727747728,20.496921178459054
Annandale (WTP),-0.01738052670726392,22.410280796237828
Annandale (WTP),0.011394348597188565,24.90376718897199
Annandale (WTP),0.14022915904964536,21.534487844712146
Annandale (WTP),0.0832071066778971,20.025756091363494
Annandale (WTP),0.031173598552991913,22.27663447580152
Annandale (WTP),0.1769867335938987,19.22130977796743
