,station,dist,TR_2_mean,TR_2_std,TR_5_mean,TR_5_std,TR_10_mean,TR_10_std,TR_25_mean,TR_25_std,TR_50_mean,TR_50_std,TR_75_mean,TR_75_std,TR_100_mean,TR_100_std
44,Point Saline (MBIA),GEV,71.74954191180291,3.7476327055550454,97.52727908678128,6.805818905966467,118.0410380748368,10.964643752704488,148.97002007536707,20.477129300689406,176.39372635664998,31.945064783233473,194.44768586792517,40.92184848118663,208.2961797926921,48.531323039942485
45,Point Saline (MBIA),GPD,81.35959330971156,4.1592016556552425,103.49576628457655,7.519617096597085,121.93444547534467,11.312226151576096,148.85550460267734,18.367563251066148,171.39189179981204,25.570378221764056,185.53858729689819,30.662848574391386,196.04031694576847,34.71774808477075
46,Pomme Rose (WTP),GEV,83.71883034704668,7.496895810974672,109.6728851813785,11.345990086797967,127.73695679963986,17.564715686622204,152.2373470347836,31.33287490802001,172.1385306882263,47.207938745531905,184.59548188881348,59.38348059278668,193.8859031736287,69.62865060489096
47,Pomme Rose (WTP),GPD,108.98443190557053,9.956422216017252,133.52640047477243,17.246783039253106,153.29989850353593,24.887745265614356,181.31294897231137,38.34911737437713,204.1444945008897,51.574069299037916,218.24424866246275,60.74318063677865,228.6121435722231,67.97137783602052
48,Radix (WTP),GEV,60.315854794857515,5.506807764832585,85.20355789152524,11.724662946325338,108.714177228437,19.963858372542077,150.93259976032962,41.66502004639055,195.71884575339905,73.75813966370598,229.23198464813368,103.12163317797527,257.2091390198961,130.78018257448628
49,Radix (WTP),GPD,84.00342827092115,8.332609666174456,108.3838884763503,15.873238107474537,130.8377029152452,24.907493188338954,167.28869378773513,43.311673656576716,201.2995773476599,64.18489246297933,224.34109017770362,80.16407238961742,242.31312208553092,93.59127358955298
50,Spring Garden (WTP),GEV,73.72954196949472,10.962383663505879,116.21737215150219,19.77598974681255,151.77434370560303,31.88521362481097,209.17485101761966,63.75306988746091,264.543930130536,108.95590074119198,303.56308703561143,148.97023536561142,334.9755707099918,185.9433481943626
51,Spring Garden (WTP),GPD,123.48640959292183,11.77663343314904,153.8791227887252,19.86608921675707,179.50057016272854,28.394773099396204,217.40141126801248,43.67854959197767,249.5720263098858,59.0028700907874,269.96905383546334,69.78524305504351,285.2104124871154,78.36635414808137
52,Tufton Hall (WTP),GEV,109.98207055611573,14.614689833688878,161.6394229793907,21.021844153573745,201.5474459374078,30.769182767395343,260.600454853204,54.88686773866137,312.42030408281585,85.61023502886968,346.45643014265653,110.50507113051219,372.5818467731459,132.10402906672286
53,Tufton Hall (WTP),GPD,159.5876586387952,13.768233662390386,197.9139396519745,22.841580518005305,229.53657328386413,32.167615994408905,275.27182016051967,48.43854059266642,313.2051234300184,64.31963630214413,336.8687810189828,75.28350160563905,354.36673029326823,83.90077619088346
54,Vendome (WTP),GEV,111.88275384272563,11.90086791794573,155.49529722176393,17.926727353257977,190.38211779345247,26.79091978946246,243.82127675953666,48.91802365721499,292.37988058221725,77.65097643954729,325.05697331677794,101.24107014647193,350.5336991391564,121.86821856535688
55,Vendome (WTP),GPD,143.28129319898585,12.165439164758318,177.6899205971802,19.819884157454283,206.41422215593585,27.64639722950944,248.42945958202216,41.26561049344542,283.65235447857333,54.53401324665965,305.7793225203294,63.68248183997762,322.21125515015933,70.86634059071636
