station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Mt.Plaisir (WTP),638044.3701037947,1341144.833840173,638.0443701037947,1341.144833840173,205.6737,5,152.6103010031365,18.91116572027301,0.4029014461486214,0.14262244396686022,-0.41024368050039106,-0.5350828150863223
Mt.Plaisir (WTP),638044.3701037947,1341144.833840173,638.0443701037947,1341.144833840173,205.6737,10,182.65613435009396,27.981163215961185,0.32478103997842883,0.02720009443981572,-0.41024368050039106,-0.5350828150863223
Mt.Plaisir (WTP),638044.3701037947,1341144.833840173,638.0443701037947,1341.144833840173,205.6737,25,229.41716009857961,44.96870986824693,0.21867103329813892,-0.0906935302901221,-0.41024368050039106,-0.5350828150863223
Mt.Plaisir (WTP),638044.3701037947,1341144.833840173,638.0443701037947,1341.144833840173,205.6737,50,271.1251485271168,62.726664868399816,0.1418496460023367,-0.1592607685142092,-0.41024368050039106,-0.5350828150863223
Mt.Plaisir (WTP),638044.3701037947,1341144.833840173,638.0443701037947,1341.144833840173,205.6737,75,298.4673946827476,75.56865629540364,0.09959868267434833,-0.19305729900437468,-0.41024368050039106,-0.5350828150863223
Mt.Plaisir (WTP),638044.3701037947,1341144.833840173,638.0443701037947,1341.144833840173,205.6737,100,319.33247717764704,85.96368865424104,0.0710406876602555,-0.21468948766464557,-0.41024368050039106,-0.5350828150863223
Munich (WTP),647287.3774011964,1336418.5644464027,647.2873774011964,1336.4185644464028,243.2152,5,104.09790311018136,12.732477836466616,-0.9886904930679083,-0.7433840608552431,-0.11090959462024207,-0.13971029888186212
Munich (WTP),647287.3774011964,1336418.5644464027,647.2873774011964,1336.4185644464028,243.2152,10,122.6118933062853,19.12571434465667,-0.9796170108507256,-0.7117239944725602,-0.11090959462024207,-0.13971029888186212
Munich (WTP),647287.3774011964,1336418.5644464027,647.2873774011964,1336.4185644464028,243.2152,25,150.52252548488363,31.165351220709017,-0.9436598988883833,-0.6755745186402663,-0.11090959462024207,-0.13971029888186212
Munich (WTP),647287.3774011964,1336418.5644464027,647.2873774011964,1336.4185644464028,243.2152,50,174.70213362851499,43.740150075828694,-0.9048476804460658,-0.6528523953819207,-0.11090959462024207,-0.13971029888186212
Munich (WTP),647287.3774011964,1336418.5644464027,647.2873774011964,1336.4185644464028,243.2152,75,190.26317130305827,52.81223757437712,-0.8798273558876546,-0.641103676659647,-0.11090959462024207,-0.13971029888186212
Munich (WTP),647287.3774011964,1336418.5644464027,647.2873774011964,1336.4185644464028,243.2152,100,202.00662770089582,60.14188467780976,-0.8616218874720429,-0.6333452794796511,-0.11090959462024207,-0.13971029888186212
Peggy's Whim (WTP),647128.3562519671,1346005.6788220564,647.1283562519671,1346.0056788220563,241.6209,5,187.8099912151342,27.730082436063604,1.412614577006832,1.4072303546777098,-0.12362161553359721,-0.23421919391461965
Peggy's Whim (WTP),647128.3562519671,1346005.6788220564,647.1283562519671,1346.0056788220563,241.6209,10,238.1528490338309,43.83615064436057,1.5303888585212946,1.3501857850027084,-0.12362161553359721,-0.23421919391461965
Peggy's Whim (WTP),647128.3562519671,1346005.6788220564,647.1283562519671,1346.0056788220563,241.6209,25,323.6134962496335,77.00231819738578,1.6064373337963813,1.266646301150831,-0.12362161553359721,-0.23421919391461965
Peggy's Whim (WTP),647128.3562519671,1346005.6788220564,647.1283562519671,1346.0056788220563,241.6209,50,406.67077651705426,114.98964313588068,1.6132332837991115,1.1994176803652656,-0.12362161553359721,-0.23421919391461965
